college,pla,age,race,gender,income,for-profit to for-profit,for-profit to private non-profit,for-profit to 2-year public,for-profit to 4-year public,for-profit to non-transfer,private non-profit to for-profit,private non-profit to private non-profit,private non-profit to 2-year public,private non-profit to 4-year public,private non-profit to non-transfer,2-year public to for-profit,2-year public to private non-profit,2-year public to 2-year public,2-year public to 4-year public,2-year public to non-transfer,4-year public to for-profit,4-year public to private non-profit,4-year public to 2-year public,4-year public to 4-year public,4-year public to non-transfer,for-profit to non-completers,private non-profit to non-completers,2-year public to non-completers,4-year public to non-completers,non-transfer to non-completers,for-profit to graduates,private non-profit to graduates,2-year public to graduates,4-year public to graduates,non-transfer to graduates,cost,time
all,15 or more credits,all,Black,male,low income,0.0157,0.0092,0.0092,0.0092,0.0275,0.0100,0.0133,0.0200,0.0204,0.0593,0.0123,0.0490,0.0997,0.1504,0.1360,0.0166,0.0316,0.0870,0.0799,0.1437,0.0192,0.0343,0.0707,0.0866,0.2058,0.0354,0.0688,0.1452,0.1734,0.1694,48750.4760,3.5260
all,15 or more credits,all,Hispanic,male,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0061,0.0082,0.0123,0.0126,0.0364,0.0145,0.0580,0.1181,0.1783,0.1611,0.0170,0.0324,0.0891,0.0818,0.1471,0.0131,0.0304,0.0658,0.0830,0.2124,0.0306,0.0717,0.1572,0.1931,0.1537,48750.4760,3.5260
all,15 or more credits,all,White,male,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0124,0.0166,0.0249,0.0255,0.0738,0.0109,0.0434,0.0883,0.1332,0.1204,0.0196,0.0374,0.1027,0.0943,0.1696,0.0048,0.0099,0.0212,0.0262,0.1387,0.0441,0.0910,0.1983,0.2303,0.2462,48750.4760,3.5260
all,15 or more credits,all,all,all,middle or high income,0.0034,0.0020,0.0020,0.0020,0.0059,0.0159,0.0212,0.0319,0.0326,0.0946,0.0079,0.0317,0.0646,0.0974,0.0881,0.0231,0.0440,0.1209,0.1110,0.1997,0.0039,0.0077,0.0176,0.0200,0.1080,0.0465,0.0912,0.2018,0.2230,0.2882,48750.4760,3.5260
all,15 or more credits,all,Black,all,middle or high income,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0093,0.0164,0.0349,0.0416,0.1487,0.0446,0.0850,0.1816,0.2093,0.2378,48750.4760,3.5260
all,15 or more credits,all,Hispanic,all,middle or high income,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0055,0.0125,0.0276,0.0342,0.1585,0.0394,0.0881,0.1957,0.2316,0.2185,48750.4760,3.5260
all,15 or more credits,all,White,all,middle or high income,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0014,0.0022,0.0046,0.0051,0.1023,0.0491,0.0974,0.2140,0.2406,0.2929,48750.4760,3.5260
all,15 or more credits,all,all,female,middle or high income,0.0034,0.0020,0.0020,0.0020,0.0059,0.0159,0.0212,0.0319,0.0326,0.0946,0.0079,0.0317,0.0646,0.0974,0.0881,0.0231,0.0440,0.1209,0.1110,0.1997,0.0019,0.0034,0.0070,0.0086,0.0951,0.0485,0.0955,0.2124,0.2345,0.3015,48750.4760,3.5260
all,15 or more credits,all,Black,female,middle or high income,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0068,0.0118,0.0247,0.0300,0.1367,0.0470,0.0896,0.1918,0.2209,0.2503,48750.4760,3.5260
all,15 or more credits,all,Hispanic,female,middle or high income,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0039,0.0088,0.0190,0.0241,0.1501,0.0409,0.0917,0.2044,0.2417,0.2274,48750.4760,3.5260
all,15 or more credits,all,White,female,middle or high income,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0012,0.0021,0.0045,0.0050,0.1019,0.0493,0.0975,0.2141,0.2407,0.2932,48750.4760,3.5260
all,15 or more credits,all,all,male,middle or high income,0.0034,0.0020,0.0020,0.0020,0.0059,0.0159,0.0212,0.0319,0.0326,0.0946,0.0079,0.0317,0.0646,0.0974,0.0881,0.0231,0.0440,0.1209,0.1110,0.1997,0.0051,0.0106,0.0243,0.0280,0.1140,0.0453,0.0883,0.1951,0.2151,0.2818,48750.4760,3.5260
all,15 or more credits,all,Black,male,middle or high income,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0110,0.0199,0.0422,0.0504,0.1569,0.0428,0.0816,0.1742,0.2005,0.2291,48750.4760,3.5260
all,15 or more credits,all,Hispanic,male,middle or high income,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0072,0.0166,0.0369,0.0455,0.1665,0.0376,0.0839,0.1865,0.2203,0.2099,48750.4760,3.5260
all,15 or more credits,all,White,male,middle or high income,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0015,0.0023,0.0047,0.0052,0.1025,0.0489,0.0973,0.2139,0.2405,0.2926,48750.4760,3.5260
all,15 or more credits,18 to 24,all,all,all,0.0020,0.0012,0.0012,0.0012,0.0035,0.0141,0.0187,0.0281,0.0288,0.0834,0.0089,0.0357,0.0728,0.1098,0.0992,0.0228,0.0433,0.1192,0.1094,0.1968,0.0012,0.0021,0.0046,0.0051,0.1054,0.0465,0.0968,0.2166,0.2440,0.2873,48750.4760,3.5260
all,15 or more credits,over 24,all,all,all,0.0213,0.0125,0.0125,0.0125,0.0372,0.0110,0.0147,0.0220,0.0225,0.0653,0.0132,0.0528,0.1075,0.1622,0.1466,0.0132,0.0252,0.0694,0.0637,0.1146,0.0182,0.0292,0.0573,0.0712,0.2029,0.0406,0.0760,0.1541,0.1897,0.1714,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,all,all,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0037,0.0076,0.0164,0.0199,0.1226,0.0455,0.0925,0.2030,0.2311,0.2674,48750.4760,3.5260
all,15 or more credits,over 24,Black,all,all,0.0420,0.0246,0.0246,0.0246,0.0732,0.0097,0.0129,0.0194,0.0199,0.0576,0.0126,0.0502,0.1022,0.1541,0.1393,0.0108,0.0206,0.0565,0.0519,0.0933,0.0332,0.0427,0.0769,0.0954,0.2246,0.0419,0.0656,0.1258,0.1551,0.1475,48750.4760,3.5260
all,15 or more credits,18 to 24,Hispanic,all,all,0.0017,0.0010,0.0010,0.0010,0.0030,0.0087,0.0116,0.0174,0.0178,0.0515,0.0115,0.0458,0.0933,0.1408,0.1272,0.0216,0.0412,0.1132,0.1039,0.1869,0.0017,0.0040,0.0086,0.0111,0.1332,0.0418,0.0955,0.2163,0.2523,0.2475,48750.4760,3.5260
all,15 or more credits,over 24,Hispanic,all,all,0.0173,0.0101,0.0101,0.0101,0.0301,0.0064,0.0086,0.0129,0.0132,0.0382,0.0160,0.0641,0.1305,0.1970,0.1780,0.0119,0.0227,0.0624,0.0573,0.1030,0.0188,0.0356,0.0714,0.0926,0.2319,0.0328,0.0700,0.1446,0.1849,0.1292,48750.4760,3.5260
all,15 or more credits,18 to 24,White,all,all,0.0016,0.0009,0.0009,0.0009,0.0028,0.0164,0.0218,0.0327,0.0335,0.0971,0.0080,0.0318,0.0648,0.0978,0.0884,0.0232,0.0441,0.1214,0.1114,0.2004,0.0010,0.0020,0.0044,0.0049,0.0944,0.0481,0.0968,0.2155,0.2388,0.3030,48750.4760,3.5260
all,15 or more credits,over 24,White,all,all,0.0179,0.0105,0.0105,0.0105,0.0311,0.0134,0.0179,0.0268,0.0274,0.0795,0.0123,0.0492,0.1002,0.1512,0.1367,0.0141,0.0269,0.0739,0.0679,0.1221,0.0092,0.0144,0.0282,0.0354,0.1624,0.0485,0.0900,0.1832,0.2216,0.2187,48750.4760,3.5260
all,15 or more credits,18 to 24,all,female,all,0.0020,0.0012,0.0012,0.0012,0.0035,0.0141,0.0187,0.0281,0.0288,0.0834,0.0089,0.0357,0.0728,0.1098,0.0992,0.0228,0.0433,0.1192,0.1094,0.1968,0.0011,0.0021,0.0045,0.0051,0.1052,0.0466,0.0969,0.2167,0.2440,0.2875,48750.4760,3.5260
all,15 or more credits,over 24,all,female,all,0.0213,0.0125,0.0125,0.0125,0.0372,0.0110,0.0147,0.0220,0.0225,0.0653,0.0132,0.0528,0.1075,0.1622,0.1466,0.0132,0.0252,0.0694,0.0637,0.1146,0.0156,0.0250,0.0488,0.0612,0.1924,0.0432,0.0803,0.1626,0.1997,0.1823,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,female,all,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0021,0.0039,0.0079,0.0100,0.1139,0.0471,0.0961,0.2116,0.2410,0.2766,48750.4760,3.5260
all,15 or more credits,over 24,Black,female,all,0.0420,0.0246,0.0246,0.0246,0.0732,0.0097,0.0129,0.0194,0.0199,0.0576,0.0126,0.0502,0.1022,0.1541,0.1393,0.0108,0.0206,0.0565,0.0519,0.0933,0.0298,0.0380,0.0682,0.0849,0.2141,0.0453,0.0703,0.1345,0.1656,0.1585,48750.4760,3.5260
all,15 or more credits,18 to 24,Hispanic,female,all,0.0017,0.0010,0.0010,0.0010,0.0030,0.0087,0.0116,0.0174,0.0178,0.0515,0.0115,0.0458,0.0933,0.1408,0.1272,0.0216,0.0412,0.1132,0.1039,0.1869,0.0012,0.0023,0.0050,0.0059,0.1325,0.0423,0.0973,0.2199,0.2575,0.2486,48750.4760,3.5260
all,15 or more credits,over 24,Hispanic,female,all,0.0173,0.0101,0.0101,0.0101,0.0301,0.0064,0.0086,0.0129,0.0132,0.0382,0.0160,0.0641,0.1305,0.1970,0.1780,0.0119,0.0227,0.0624,0.0573,0.1030,0.0170,0.0320,0.0640,0.0835,0.2252,0.0347,0.0735,0.1519,0.1941,0.1364,48750.4760,3.5260
all,15 or more credits,18 to 24,White,female,all,0.0016,0.0009,0.0009,0.0009,0.0028,0.0164,0.0218,0.0327,0.0335,0.0971,0.0080,0.0318,0.0648,0.0978,0.0884,0.0232,0.0441,0.1214,0.1114,0.2004,0.0010,0.0020,0.0044,0.0049,0.0944,0.0481,0.0968,0.2155,0.2388,0.3030,48750.4760,3.5260
all,15 or more credits,over 24,White,female,all,0.0179,0.0105,0.0105,0.0105,0.0311,0.0134,0.0179,0.0268,0.0274,0.0795,0.0123,0.0492,0.1002,0.1512,0.1367,0.0141,0.0269,0.0739,0.0679,0.1221,0.0074,0.0110,0.0209,0.0265,0.1555,0.0503,0.0935,0.1906,0.2304,0.2260,48750.4760,3.5260
all,15 or more credits,18 to 24,all,male,all,0.0020,0.0012,0.0012,0.0012,0.0035,0.0141,0.0187,0.0281,0.0288,0.0834,0.0089,0.0357,0.0728,0.1098,0.0992,0.0228,0.0433,0.1192,0.1094,0.1968,0.0017,0.0036,0.0076,0.0095,0.1059,0.0461,0.0954,0.2137,0.2396,0.2864,48750.4760,3.5260
all,15 or more credits,over 24,all,male,all,0.0213,0.0125,0.0125,0.0125,0.0372,0.0110,0.0147,0.0220,0.0225,0.0653,0.0132,0.0528,0.1075,0.1622,0.1466,0.0132,0.0252,0.0694,0.0637,0.1146,0.0211,0.0347,0.0684,0.0854,0.2125,0.0377,0.0705,0.1430,0.1755,0.1608,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,male,all,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0050,0.0106,0.0234,0.0282,0.1288,0.0443,0.0894,0.1961,0.2228,0.2607,48750.4760,3.5260
all,15 or more credits,over 24,Black,male,all,0.0420,0.0246,0.0246,0.0246,0.0732,0.0097,0.0129,0.0194,0.0199,0.0576,0.0126,0.0502,0.1022,0.1541,0.1393,0.0108,0.0206,0.0565,0.0519,0.0933,0.0361,0.0472,0.0853,0.1061,0.2330,0.0389,0.0611,0.1174,0.1444,0.1384,48750.4760,3.5260
all,15 or more credits,18 to 24,Hispanic,male,all,0.0017,0.0010,0.0010,0.0010,0.0030,0.0087,0.0116,0.0174,0.0178,0.0515,0.0115,0.0458,0.0933,0.1408,0.1272,0.0216,0.0412,0.1132,0.1039,0.1869,0.0032,0.0081,0.0179,0.0225,0.1409,0.0403,0.0915,0.2070,0.2410,0.2391,48750.4760,3.5260
all,15 or more credits,over 24,Hispanic,male,all,0.0173,0.0101,0.0101,0.0101,0.0301,0.0064,0.0086,0.0129,0.0132,0.0382,0.0160,0.0641,0.1305,0.1970,0.1780,0.0119,0.0227,0.0624,0.0573,0.1030,0.0213,0.0409,0.0823,0.1069,0.2397,0.0303,0.0646,0.1336,0.1706,0.1205,48750.4760,3.5260
all,15 or more credits,18 to 24,White,male,all,0.0016,0.0009,0.0009,0.0009,0.0028,0.0164,0.0218,0.0327,0.0335,0.0971,0.0080,0.0318,0.0648,0.0978,0.0884,0.0232,0.0441,0.1214,0.1114,0.2004,0.0010,0.0020,0.0044,0.0049,0.0945,0.0481,0.0967,0.2154,0.2387,0.3029,48750.4760,3.5260
all,15 or more credits,over 24,White,male,all,0.0179,0.0105,0.0105,0.0105,0.0311,0.0134,0.0179,0.0268,0.0274,0.0795,0.0123,0.0492,0.1002,0.1512,0.1367,0.0141,0.0269,0.0739,0.0679,0.1221,0.0116,0.0189,0.0373,0.0468,0.1710,0.0461,0.0856,0.1741,0.2102,0.2094,48750.4760,3.5260
all,15 or more credits,18 to 24,all,all,low income,0.0029,0.0017,0.0017,0.0017,0.0051,0.0110,0.0146,0.0220,0.0225,0.0652,0.0112,0.0448,0.0913,0.1377,0.1245,0.0205,0.0390,0.1072,0.0984,0.1770,0.0026,0.0058,0.0125,0.0157,0.1345,0.0430,0.0944,0.2097,0.2446,0.2488,48750.4760,3.5260
all,15 or more credits,over 24,all,all,low income,0.0282,0.0165,0.0165,0.0165,0.0492,0.0077,0.0103,0.0155,0.0159,0.0460,0.0149,0.0597,0.1216,0.1835,0.1658,0.0107,0.0205,0.0563,0.0516,0.0929,0.0249,0.0389,0.0742,0.0952,0.2311,0.0368,0.0681,0.1357,0.1723,0.1335,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,all,low income,0.0065,0.0038,0.0038,0.0038,0.0113,0.0108,0.0144,0.0217,0.0222,0.0643,0.0119,0.0476,0.0970,0.1463,0.1322,0.0186,0.0355,0.0976,0.0896,0.1612,0.0065,0.0139,0.0300,0.0373,0.1569,0.0414,0.0875,0.1900,0.2245,0.2230,48750.4760,3.5260
all,15 or more credits,over 24,Black,all,low income,0.0533,0.0312,0.0312,0.0312,0.0930,0.0066,0.0087,0.0131,0.0134,0.0390,0.0136,0.0545,0.1109,0.1674,0.1513,0.0084,0.0160,0.0440,0.0404,0.0726,0.0433,0.0527,0.0913,0.1157,0.2483,0.0386,0.0578,0.1079,0.1367,0.1159,48750.4760,3.5260
all,15 or more credits,18 to 24,Hispanic,all,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0065,0.0087,0.0130,0.0133,0.0387,0.0138,0.0553,0.1126,0.1698,0.1535,0.0187,0.0356,0.0979,0.0899,0.1617,0.0043,0.0111,0.0244,0.0314,0.1698,0.0372,0.0899,0.2005,0.2431,0.2016,48750.4760,3.5260
all,15 or more credits,over 24,Hispanic,all,low income,0.0222,0.0130,0.0130,0.0130,0.0387,0.0044,0.0059,0.0088,0.0090,0.0261,0.0176,0.0704,0.1434,0.2163,0.1956,0.0094,0.0179,0.0491,0.0451,0.0811,0.0246,0.0453,0.0887,0.1181,0.2548,0.0290,0.0618,0.1256,0.1654,0.0980,48750.4760,3.5260
all,15 or more credits,18 to 24,White,all,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0130,0.0173,0.0260,0.0266,0.0772,0.0102,0.0406,0.0827,0.1248,0.1128,0.0212,0.0404,0.1111,0.1019,0.1834,0.0011,0.0021,0.0045,0.0052,0.1184,0.0457,0.0977,0.2167,0.2496,0.2702,48750.4760,3.5260
all,15 or more credits,over 24,White,all,low income,0.0242,0.0141,0.0141,0.0141,0.0421,0.0096,0.0129,0.0193,0.0197,0.0573,0.0142,0.0569,0.1159,0.1748,0.1580,0.0117,0.0223,0.0613,0.0562,0.1012,0.0150,0.0234,0.0447,0.0574,0.1967,0.0447,0.0828,0.1659,0.2076,0.1741,48750.4760,3.5260
all,15 or more credits,18 to 24,all,female,low income,0.0029,0.0017,0.0017,0.0017,0.0051,0.0110,0.0146,0.0220,0.0225,0.0652,0.0112,0.0448,0.0913,0.1377,0.1245,0.0205,0.0390,0.1072,0.0984,0.1770,0.0016,0.0031,0.0065,0.0082,0.1302,0.0440,0.0970,0.2157,0.2521,0.2535,48750.4760,3.5260
all,15 or more credits,over 24,all,female,low income,0.0282,0.0165,0.0165,0.0165,0.0492,0.0077,0.0103,0.0155,0.0159,0.0460,0.0149,0.0597,0.1216,0.1835,0.1658,0.0107,0.0205,0.0563,0.0516,0.0929,0.0224,0.0349,0.0662,0.0853,0.2231,0.0393,0.0722,0.1437,0.1822,0.1420,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,female,low income,0.0065,0.0038,0.0038,0.0038,0.0113,0.0108,0.0144,0.0217,0.0222,0.0643,0.0119,0.0476,0.0970,0.1463,0.1322,0.0186,0.0355,0.0976,0.0896,0.1612,0.0049,0.0102,0.0216,0.0273,0.1491,0.0430,0.0911,0.1984,0.2345,0.2314,48750.4760,3.5260
all,15 or more credits,over 24,Black,female,low income,0.0533,0.0312,0.0312,0.0312,0.0930,0.0066,0.0087,0.0131,0.0134,0.0390,0.0136,0.0545,0.1109,0.1674,0.1513,0.0084,0.0160,0.0440,0.0404,0.0726,0.0400,0.0483,0.0835,0.1059,0.2397,0.0420,0.0622,0.1158,0.1465,0.1250,48750.4760,3.5260
all,15 or more credits,18 to 24,Hispanic,female,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0065,0.0087,0.0130,0.0133,0.0387,0.0138,0.0553,0.1126,0.1698,0.1535,0.0187,0.0356,0.0979,0.0899,0.1617,0.0030,0.0077,0.0165,0.0218,0.1632,0.0385,0.0933,0.2084,0.2527,0.2088,48750.4760,3.5260
all,15 or more credits,over 24,Hispanic,female,low income,0.0222,0.0130,0.0130,0.0130,0.0387,0.0044,0.0059,0.0088,0.0090,0.0261,0.0176,0.0704,0.1434,0.2163,0.1956,0.0094,0.0179,0.0491,0.0451,0.0811,0.0227,0.0417,0.0814,0.1085,0.2494,0.0309,0.0655,0.1329,0.1749,0.1041,48750.4760,3.5260
all,15 or more credits,18 to 24,White,female,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0130,0.0173,0.0260,0.0266,0.0772,0.0102,0.0406,0.0827,0.1248,0.1128,0.0212,0.0404,0.1111,0.1019,0.1834,0.0010,0.0020,0.0044,0.0051,0.1182,0.0458,0.0977,0.2167,0.2497,0.2704,48750.4760,3.5260
all,15 or more credits,over 24,White,female,low income,0.0242,0.0141,0.0141,0.0141,0.0421,0.0096,0.0129,0.0193,0.0197,0.0573,0.0142,0.0569,0.1159,0.1748,0.1580,0.0117,0.0223,0.0613,0.0562,0.1012,0.0127,0.0194,0.0368,0.0476,0.1886,0.0470,0.0868,0.1738,0.2174,0.1827,48750.4760,3.5260
all,15 or more credits,18 to 24,all,male,low income,0.0029,0.0017,0.0017,0.0017,0.0051,0.0110,0.0146,0.0220,0.0225,0.0652,0.0112,0.0448,0.0913,0.1377,0.1245,0.0205,0.0390,0.1072,0.0984,0.1770,0.0040,0.0094,0.0207,0.0258,0.1412,0.0416,0.0908,0.2014,0.2345,0.2415,48750.4760,3.5260
all,15 or more credits,over 24,all,male,low income,0.0282,0.0165,0.0165,0.0165,0.0492,0.0077,0.0103,0.0155,0.0159,0.0460,0.0149,0.0597,0.1216,0.1835,0.1658,0.0107,0.0205,0.0563,0.0516,0.0929,0.0276,0.0439,0.0839,0.1079,0.2390,0.0340,0.0631,0.1259,0.1596,0.1247,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,male,low income,0.0065,0.0038,0.0038,0.0038,0.0113,0.0108,0.0144,0.0217,0.0222,0.0643,0.0119,0.0476,0.0970,0.1463,0.1322,0.0186,0.0355,0.0976,0.0896,0.1612,0.0082,0.0176,0.0381,0.0471,0.1649,0.0397,0.0838,0.1819,0.2147,0.2145,48750.4760,3.5260
all,15 or more credits,over 24,Black,male,low income,0.0533,0.0312,0.0312,0.0312,0.0930,0.0066,0.0087,0.0131,0.0134,0.0390,0.0136,0.0545,0.1109,0.1674,0.1513,0.0084,0.0160,0.0440,0.0404,0.0726,0.0465,0.0571,0.0993,0.1260,0.2559,0.0355,0.0534,0.0999,0.1264,0.1075,48750.4760,3.5260
all,15 or more credits,18 to 24,Hispanic,male,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0065,0.0087,0.0130,0.0133,0.0387,0.0138,0.0553,0.1126,0.1698,0.1535,0.0187,0.0356,0.0979,0.0899,0.1617,0.0058,0.0151,0.0334,0.0426,0.1764,0.0357,0.0859,0.1915,0.2319,0.1943,48750.4760,3.5260
all,15 or more credits,over 24,Hispanic,male,low income,0.0222,0.0130,0.0130,0.0130,0.0387,0.0044,0.0059,0.0088,0.0090,0.0261,0.0176,0.0704,0.1434,0.2163,0.1956,0.0094,0.0179,0.0491,0.0451,0.0811,0.0269,0.0502,0.0985,0.1311,0.2610,0.0267,0.0570,0.1158,0.1523,0.0909,48750.4760,3.5260
all,15 or more credits,18 to 24,White,male,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0130,0.0173,0.0260,0.0266,0.0772,0.0102,0.0406,0.0827,0.1248,0.1128,0.0212,0.0404,0.1111,0.1019,0.1834,0.0012,0.0021,0.0046,0.0052,0.1185,0.0456,0.0976,0.2166,0.2495,0.2701,48750.4760,3.5260
all,15 or more credits,over 24,White,male,low income,0.0242,0.0141,0.0141,0.0141,0.0421,0.0096,0.0129,0.0193,0.0197,0.0573,0.0142,0.0569,0.1159,0.1748,0.1580,0.0117,0.0223,0.0613,0.0562,0.1012,0.0175,0.0279,0.0536,0.0687,0.2046,0.0423,0.0783,0.1570,0.1963,0.1655,48750.4760,3.5260
all,15 or more credits,18 to 24,all,all,middle or high income,0.0013,0.0008,0.0008,0.0008,0.0023,0.0163,0.0217,0.0326,0.0334,0.0968,0.0073,0.0291,0.0592,0.0893,0.0807,0.0244,0.0465,0.1279,0.1174,0.2113,0.0011,0.0020,0.0045,0.0049,0.0871,0.0482,0.0961,0.2161,0.2360,0.3119,48750.4760,3.5260
all,15 or more credits,over 24,all,all,middle or high income,0.0153,0.0089,0.0089,0.0089,0.0266,0.0139,0.0185,0.0278,0.0284,0.0824,0.0117,0.0467,0.0951,0.1435,0.1297,0.0155,0.0294,0.0810,0.0743,0.1337,0.0134,0.0228,0.0463,0.0568,0.1760,0.0429,0.0807,0.1664,0.1983,0.2061,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,all,middle or high income,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0019,0.0034,0.0068,0.0084,0.1137,0.0473,0.0966,0.2127,0.2426,0.2768,48750.4760,3.5260
all,15 or more credits,over 24,Black,all,middle or high income,0.0420,0.0246,0.0246,0.0246,0.0732,0.0097,0.0129,0.0194,0.0199,0.0576,0.0126,0.0502,0.1022,0.1541,0.1393,0.0108,0.0206,0.0565,0.0519,0.0933,0.0288,0.0366,0.0654,0.0815,0.2111,0.0463,0.0717,0.1372,0.1690,0.1617,48750.4760,3.5260
all,15 or more credits,18 to 24,Hispanic,all,middle or high income,0.0017,0.0010,0.0010,0.0010,0.0030,0.0087,0.0116,0.0174,0.0178,0.0515,0.0115,0.0458,0.0933,0.1408,0.1272,0.0216,0.0412,0.1132,0.1039,0.1869,0.0011,0.0021,0.0046,0.0054,0.1324,0.0424,0.0975,0.2202,0.2580,0.2487,48750.4760,3.5260
all,15 or more credits,over 24,Hispanic,all,middle or high income,0.0173,0.0101,0.0101,0.0101,0.0301,0.0064,0.0086,0.0129,0.0132,0.0382,0.0160,0.0641,0.1305,0.1970,0.1780,0.0119,0.0227,0.0624,0.0573,0.1030,0.0163,0.0306,0.0611,0.0797,0.2229,0.0354,0.0749,0.1548,0.1978,0.1390,48750.4760,3.5260
all,15 or more credits,18 to 24,White,all,middle or high income,0.0016,0.0009,0.0009,0.0009,0.0028,0.0164,0.0218,0.0327,0.0335,0.0971,0.0080,0.0318,0.0648,0.0978,0.0884,0.0232,0.0441,0.1214,0.1114,0.2004,0.0010,0.0020,0.0044,0.0049,0.0944,0.0481,0.0968,0.2155,0.2388,0.3030,48750.4760,3.5260
all,15 or more credits,over 24,White,all,middle or high income,0.0179,0.0105,0.0105,0.0105,0.0311,0.0134,0.0179,0.0268,0.0274,0.0795,0.0123,0.0492,0.1002,0.1512,0.1367,0.0141,0.0269,0.0739,0.0679,0.1221,0.0068,0.0098,0.0184,0.0234,0.1535,0.0509,0.0946,0.1931,0.2335,0.2282,48750.4760,3.5260
all,15 or more credits,18 to 24,all,female,middle or high income,0.0013,0.0008,0.0008,0.0008,0.0023,0.0163,0.0217,0.0326,0.0334,0.0968,0.0073,0.0291,0.0592,0.0893,0.0807,0.0244,0.0465,0.1279,0.1174,0.2113,0.0010,0.0020,0.0044,0.0048,0.0870,0.0483,0.0961,0.2161,0.2361,0.3120,48750.4760,3.5260
all,15 or more credits,over 24,all,female,middle or high income,0.0153,0.0089,0.0089,0.0089,0.0266,0.0139,0.0185,0.0278,0.0284,0.0824,0.0117,0.0467,0.0951,0.1435,0.1297,0.0155,0.0294,0.0810,0.0743,0.1337,0.0108,0.0183,0.0369,0.0457,0.1644,0.0455,0.0853,0.1759,0.2094,0.2183,48750.4760,3.5260
all,15 or more credits,18 to 24,Black,female,middle or high income,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0015,0.0023,0.0047,0.0053,0.1134,0.0477,0.0977,0.2148,0.2457,0.2775,48750.4760,3.5260
